Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
5	386610785	62	TESS-SPOC	200	2.81458998	133.5073699951172	0.0572555624498834	0.0	7.528218749207649	-1.5684591464105055	2.2844074529638028	3.9411614996444415	Aisladas	2	1	1	-999.0	-999.0	0	3.5870572495632063	8.194300315110027	5.224427001406494	-2.21208239	-7.93486618	0.99919635
6	230092799	60	TESS-SPOC	200	7.13600016	2989.604736328125	0.0830253919142501	0.0	11.461830119551422	-1.433654164925183	2.2541709157592207	7.677252942491744	Aisladas	2	0	1	-13.280552	0.2596499	1	3.7845771770596777	8.53108380097406	5.950586975359754	-2.19713308	-8.31521972	0.99930865
6	230092799	58	TESS-SPOC	200	7.13600016	1399.541015625	0.0707943242076176	0.0	11.746928072466348	-1.4947868750678777	2.207219119705207	7.723357415366618	Aisladas	2	0	1	-13.280552	0.2596499	1	4.0235706570997305	8.880902083835368	5.9412497072079855	-2.16467265	-8.70971337	0.99918503
6	230092799	57	TESS-SPOC	200	7.13600016	1523.3502197265625	0.048683514145661	0.0	10.13361082471602	-1.720334514909973	2.012565051434753	5.360377831075842	Aisladas	2	0	1	-13.280552	0.2596499	1	4.773232993640179	9.606441905355506	5.584054625479756	-1.99610693	-9.52788344	0.99916428
6	230092799	56	TESS-SPOC	200	7.13600016	2814.409912109375	0.5918292836742927	8.299688867074502e-295	9.652239185899356	-1.5560000677822396	2.1433261868113447	5.325148669159286	Aisladas	2	0	1	-13.280552	0.2596499	1	4.32709051674007	9.274366417232024	5.960389468652621	-2.11411206	-9.14795426	0.99912107
6	230092799	59	TESS-SPOC	200	7.13600016	2735.11767578125	0.0776893306870298	0.0	11.781677899669054	-1.4416167233070931	2.170101420841922	7.647662799211238	Aisladas	2	0	1	-13.280552	0.2596499	1	4.134015100457816	8.971232043285468	6.2230354977468005	-2.1332223	-8.81877322	0.99923247
7	1219998	5	SPOC	120	9.38539982	908.7575073242188	0.2691963760426928	0.0	8.835915063092687	-1.679270701796873	2.560393323100677	5.508001107136328	Aisladas	2	1	1	-6.940741	-2.6578961	1	3.327913955956359	8.520768672684223	5.074088807460721	-2.45175944	-8.15924447	0.9892894
7	1219998	5	TESS-SPOC	1800	9.38539982	1523.697998046875	0.0901964283142777	4.747914529289657e-196	8.487877901656693	-1.323516115707554	3.1444398126547006	5.032425873599805	Aisladas	2	1	1	-6.940741	-2.6578961	1	3.455452028056889	10.865460927740507	8.20954183994338	-3.02890354	-10.46623089	0.98895711
8	114858879	2	SPOC	120	5.19049978	420.4051208496094	0.0766294226640609	0.0	8.147141126537209	-1.3045486503608668	1.5087645730111847	4.488827108144892	Aisladas	2	2	1	-13.174488	-1.7722923	1	3.658314018392317	5.519534587900515	4.230991758240439	-1.46470315	-5.35834406	0.99967116
8	114858879	69	SPOC	120	5.19049978	1058.5736083984375	0.0855687935362064	0.0	9.704808106054172	-1.2053022911375355	1.788823988779939	5.5690175172528615	Aisladas	2	2	1	-13.174488	-1.7722923	1	4.135790588801312	7.398201417818096	6.138046423885787	-1.75848592	-7.27272951	0.99964684
