Name TIC_ID Sector Author Exptime Magnitude Slope Slope2 Breakpoint
V*_CI_Hyi 234300677 01 SPOC 120 5.26399994 -1.4772349701056455 0.4866837321017791 3.1195444839775806
V*_CI_Hyi 234300677 02 SPOC 120 5.26399994 -1.7042165005905325 -0.1979377294483639 2.8616363661606203
V*_CI_Hyi 234300677 27 SPOC 120 5.26399994 -1.6398322316603153 0.18412633253529523 2.813225438923845
V*_CI_Hyi 234300677 29 SPOC 120 5.26399994 -1.4756785696912704 0.06925601562971175 3.056069333655415
V*_CI_Hyi 234300677 67 SPOC 120 5.26399994 -1.6970558328676515 0.029968742162842198 2.74877630361527
V*_CI_Hyi 234300677 69 SPOC 120 5.26399994 -1.4112824078825084 -0.06995100597570357 2.473526572210661
V*_CI_Hyi 234300677 01 TESS-SPOC 1800 5.26399994 -1.967091390204684 -0.871106122787774 1.855603905699441
V*_CI_Hyi 234300677 02 TESS-SPOC 1800 5.26399994 -1.7481566307746932 -0.2764500643004388 2.30055761368609
V*_CI_Hyi 234300677 27 TESS-SPOC 600 5.26399994 -1.902352632622212 -0.3357842118210235 2.5904209252693047
V*_CI_Hyi 234300677 29 TESS-SPOC 600 5.26399994 -1.89200128546863 -0.5462813184615344 2.636847610975841
V*_CI_Hyi 234300677 69 TESS-SPOC 200 5.26399994 -1.9751628896858207 -0.39779178101036206 2.976980438874239
V*_CI_Hyi 234300677 67 TESS-SPOC 200 5.26399994 -1.8359281111236359 -0.19207540508338397 2.989241684685058
V*_EY_Hya 393806122 34 SPOC 120 4.68690014 -1.765688221384308 -0.25488291561996124 3.066714377987589
V*_EY_Hya 393806122 61 SPOC 120 4.68690014 -1.4207315854404097 0.13168177158343936 2.7349993849878236
V*_EY_Hya 393806122 88 SPOC 20 4.68690014 -1.8018599677966651 -0.16677838814536333 3.101476582062734
V*_EY_Hya 393806122 88 SPOC 120 4.68690014 -1.6453440240195178 -0.23866295011993816 3.062889107304095
V*_EY_Hya 393806122 34 TESS-SPOC 600 4.68690014 -1.6735838808588168 0.5917357285800938 2.6293815927519923
V*_EY_Hya 393806122 61 TESS-SPOC 200 4.68690014 -1.5156112691483203 0.21360265211405627 2.772286994143464
V*_Y_Gem 70580781 44 SPOC 120 5.04510021 -1.4126941669923183 -0.10088125272876008 2.3948207020437664
V*_Y_Gem 70580781 45 SPOC 120 5.04510021 -1.8557743100660804 -0.3682023355138735 3.3957048981069815
V*_Y_Gem 70580781 46 SPOC 120 5.04510021 -1.8250363183784923 -0.07717046804711544 3.1465478716526496
V*_Y_Gem 70580781 71 SPOC 120 5.04510021 -1.7334724972723459 -0.4709408163236242 3.073917557074407
V*_Y_Gem 70580781 44 TESS-SPOC 600 5.04510021 -1.813894513913907 -0.3976452241304606 2.59313670297652
V*_Y_Gem 70580781 45 TESS-SPOC 600 5.04510021 -1.936759839094961 -0.44844284846971805 2.7079655221123087
V*_Y_Gem 70580781 46 TESS-SPOC 600 5.04510021 -1.9308365257101263 -0.447467866426377 2.6833266288626625
V*_Y_Gem 70580781 71 TESS-SPOC 200 5.04510021 -1.3824276053145703 0.37692175495491637 3.133579877143072
CD-38_3905 132636906 61 TESS-SPOC 200 8.40380001 -1.210484781986922 -0.034773097948713444 2.0206699073176475
CD-38_3905 132636906 62 TESS-SPOC 200 8.40380001 -1.445433887811975 0.00851258011156467 2.233608247077075
IRAS_08427+0338 350315597 61 TESS-SPOC 200 11.32330036 -1.35675615367044 -0.06356585545086214 2.4798238524986806
V*_DH_Eri 178804201 05 SPOC 120 5.14340019 -1.8872654276254504 -0.6325120872014409 3.134768831833889
V*_DH_Eri 178804201 31 SPOC 120 5.14340019 -1.8685062205444032 -0.2962455701574098 2.9741411560803486
V*_DH_Eri 178804201 32 SPOC 120 5.14340019 -1.4988492303437349 0.18137064654623802 2.700150095329621
V*_DH_Eri 178804201 05 TESS-SPOC 1800 5.14340019 -0.9255788550343468 2.439842962759122 2.225032720083911
V*_DH_Eri 178804201 31 TESS-SPOC 600 5.14340019 -1.8702146566482414 -1.7302431275266899 2.3305771627606293
V*_DH_Eri 178804201 32 TESS-SPOC 600 5.14340019 -1.1836195127760114 0.22331038593835886 2.564756016135464
HD_165774 330960059 13 SPOC 120 6.05959988 -1.9099615225328384 -0.15825594501369586 2.091141451231983
HD_165774 330960059 13 TESS-SPOC 1800 6.05959988 -1.336007080522492 -0.11220610932919635 2.002581472764755
HD_165774 330960059 66 TESS-SPOC 200 6.05959988 -1.5966918317439083 -0.006846753116241122 2.67437225488014
V*_RW_And 267942318 17 SPOC 120 6.78989983 -1.6240949631956287 -0.2831058904113851 3.1593657534132444
V*_RW_And 267942318 17 TESS-SPOC 1800 6.78989983 -1.5523316145320656 -0.17339233026108683 2.036309430379521
V*_RW_And 267942318 57 TESS-SPOC 200 6.78989983 -1.8221084041469922 -0.21681723895857732 2.7729452264263115
WRAY_18-305 212203684 66 TESS-SPOC 200 8.85459995 -1.771975936827385 -0.08448459882489959 2.189189653315241
HD_187372 272841269 15 SPOC 120 4.39794016 -1.3376211032926177 0.4046812216307998 2.815270489227237
HD_187372 272841269 14 SPOC 120 4.39794016 -0.4923253095421164 -0.16980903910479853 2.8703703162048786
HD_187372 272841269 41 SPOC 120 4.39794016 -1.4932583788185871 -0.09265041339440733 2.707364298020843
HD_187372 272841269 56 SPOC 120 4.39794016 -2.6675867991646554 -0.08322550477542058 2.505945922874887
HD_187372 272841269 55 SPOC 120 4.39794016 -2.130497346024301 -0.03405682288879882 2.456629267464691
HD_187372 272841269 54 SPOC 120 4.39794016 -2.7186833445976544 -0.4072712368752055 2.3613671318374476
HD_187372 272841269 82 SPOC 120 4.39794016 -1.9138504740100748 0.021945497871444477 2.6597530210564684
HD_187372 272841269 74 SPOC 120 4.39794016 -2.305014559350531 -0.15079637412640925 2.5770324143636287
HD_187372 272841269 75 SPOC 120 4.39794016 -2.020570114769665 -0.17208476308364684 2.725536500362787
HD_187372 272841269 15 TESS-SPOC 1800 4.39794016 -1.6909079896770396 0.00890638551359869 2.155177744277189
HD_187372 272841269 14 TESS-SPOC 1800 4.39794016 -1.6106616221897978 -0.6164611116043064 1.7189861594782692
HD_187372 272841269 41 TESS-SPOC 600 4.39794016 -0.9033847848697626 -0.11348853817834827 2.4658249529753085
HD_187372 272841269 56 TESS-SPOC 200 4.39794016 -1.801373410902034 -0.03707556465606864 3.0200244956434315
HD_187372 272841269 55 TESS-SPOC 600 4.39794016 -1.673569262403532 -0.2710563943865345 2.3470116370983236
HD_187372 272841269 54 TESS-SPOC 600 4.39794016 -1.394803564999664 0.048590907413102465 2.5591635328577214
V*_R_Aqr 92138849 02 SPOC 120 5.35629988 -1.3288741461781841 0.5785319846180783 2.6944971786214365
V*_R_Aqr 92138849 29 SPOC 120 5.35629988 -1.4456530510331398 0.29335827807419007 2.763431629760196
V*_R_Aqr 92138849 70 SPOC 20 5.35629988 -1.4737853480350775 0.25408412104070727 2.7434648034069125
V*_R_Aqr 92138849 69 SPOC 120 5.35629988 -1.0416011537751704 -0.06359262773780064 2.024098332056977
V*_R_Aqr 92138849 70 SPOC 120 5.35629988 -1.226600216085037 0.2828584611094279 2.6139473242542417
V*_R_Aqr 92138849 02 TESS-SPOC 1800 5.35629988 -1.5871022817286529 -0.00789295012796571 2.2515653861353364
V*_R_Aqr 92138849 29 TESS-SPOC 600 5.35629988 -1.61239518987807 -0.006545118596420401 2.503334286666579
V*_R_Aqr 92138849 69 TESS-SPOC 200 5.35629988 -1.3372936342649493 -0.05525449150523386 2.5703850345835764
V*_R_Aqr 92138849 70 TESS-SPOC 200 5.35629988 -1.798791944936736 -0.005521585890623101 2.7056566121111802
V*_R_UMa 310965252 20 SPOC 120 4.87960005 -0.5612188785247273 0.2127300991234431 2.7640610670951857
V*_R_UMa 310965252 14 SPOC 120 4.87960005 -1.3285377450706455 -0.3483036032107697 3.2110202955056977
V*_R_UMa 310965252 21 SPOC 120 4.87960005 -1.8284773022841658 -0.44103789762960033 2.541365295668595
V*_R_UMa 310965252 47 SPOC 120 4.87960005 -1.8097291764909014 -0.5595932561234568 3.024571436828611
V*_R_UMa 310965252 41 SPOC 120 4.87960005 -1.1949546681997418 0.614111915381782 2.7429505069727598
V*_R_UMa 310965252 40 SPOC 120 4.87960005 -1.7161804938783678 -0.33004908416355977 3.1411842595735737
V*_R_UMa 310965252 48 SPOC 120 4.87960005 -1.5633643353987252 0.018523986416282976 2.6423745058482537
V*_R_UMa 310965252 75 SPOC 120 4.87960005 -1.253046980191549 0.1461538184894058 2.6710506838309334
V*_R_UMa 310965252 74 SPOC 120 4.87960005 -1.670347671813589 -0.12563101653768685 2.5513518436648015
V*_R_UMa 310965252 14 TESS-SPOC 1800 4.87960005 -0.2184094784145051 0.29601702161605914 1.7193257448625723
V*_R_UMa 310965252 20 TESS-SPOC 1800 4.87960005 -0.7829756884948993 -7.145417118448822 2.4004879226577733
V*_R_UMa 310965252 21 TESS-SPOC 1800 4.87960005 -0.4029638470571251 -18.14845696916462 2.4209712720200027
V*_R_UMa 310965252 40 TESS-SPOC 600 4.87960005 -1.9139003779210095 -0.5272762666491593 2.7006510672936654
V*_R_UMa 310965252 41 TESS-SPOC 600 4.87960005 -1.4784715271624498 -0.15899998963910164 2.688592101221829
V*_R_UMa 310965252 47 TESS-SPOC 600 4.87960005 -1.6817804121218864 -0.33545215870718875 2.6709359882092416
V*_R_UMa 310965252 48 TESS-SPOC 600 4.87960005 -1.1765066904228678 -8.31022452124483 2.8792494220321636
V*_RX_Pup 182401518 35 SPOC 120 10.90139961 -2.226386931680159 -0.00290134529190177 2.108083120011373
V*_RX_Pup 182401518 88 SPOC 120 10.90139961 -1.9861751663765543 -0.015407541027781635 2.4136820377967663
V*_RX_Pup 182401518 89 SPOC 120 10.90139961 -2.10002326502139 -0.008171097359513789 2.3985032922364313
V*_RX_Pup 182401518 35 TESS-SPOC 600 10.90139961 -2.1367470108594318 -0.19558221408903234 2.108157670211509
CD-57_3057 463038319 36 SPOC 120 6.92519999 -1.7334498880940086 0.4312548063817983 3.542869318138725
CD-57_3057 463038319 37 SPOC 120 6.92519999 -1.4911303633396014 -1.5369777562112965 3.236282265317364
CD-57_3057 463038319 36 TESS-SPOC 600 6.92519999 -1.4235471303276799 -0.7643733420969417 2.706462388704081
CD-57_3057 463038319 37 TESS-SPOC 600 6.92519999 -1.1073377317263864 -1.3347432761473648 2.548084944374437
CD-57_3057 463038319 63 TESS-SPOC 200 6.92519999 -1.2168848502407508 -0.08286875065755106 3.1199700591262847
CD-57_3057 463038319 64 TESS-SPOC 200 6.92519999 -1.4760701369339826 0.20434372074484689 3.3076160752807757
V*_BI_Cru 311758230 37 SPOC 120 9.53369999 -1.7432402944264944 -0.17200834235101464 3.0921618515330254
V*_BI_Cru 311758230 38 SPOC 120 9.53369999 -1.8739031945086797 0.20691430871342958 3.063753860062314
