Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
LS_II_+25_15	435781776	41	SPOC	120	10.59770012	2375.14013671875	1.4724337715033513	0.0	8.533862075937808	-2.066714488251185	3.221726468605508	6.076989427583053	VC1	3.75	0	1	-999.0	-999.0	0	2.4568726483547554	7.915371641197428	3.829929913490502	-2.86277821	-7.03348147	0.92345482
LS_II_+25_15	435781776	54	SPOC	120	10.59770012	2398.96142578125	1.47735105884522	0.0	8.699416826791783	-2.0381026063336045	3.4300113590681764	6.156194526720812	VC1	3.75	0	1	-999.0	-999.0	0	2.543222300070971	8.723281377878925	4.280099221094399	-3.08208379	-7.83842422	0.90488625
LS_II_+25_15	435781776	81	SPOC	120	10.59770012	2507.365478515625	1.4761319614237425	0.0	8.769758066611338	-1.9604117276051327	2.9319556940885407	6.071420852514292	VC1	3.75	0	1	-999.0	-999.0	0	2.6983372140970463	7.911405159442845	4.03558346853369	-2.68100472	-7.23425482	0.91892481
LS_II_+25_15	435781776	14	TESS-SPOC	1800	10.59770012	3582.814697265625	1.4762094816623843	2.2537369308670044e-184	7.498187696512253	-2.211037281649432	4.825334490169141	5.453871862695073	VC1	3.75	0	1	-999.0	-999.0	0	2.04431583381718	9.864507701716922	4.46148411136605	-3.99128441	-8.15944592	0.92420858
LS_II_+25_15	435781776	41	TESS-SPOC	600	10.59770012	2717.059326171875	1.4731263207392398	0.0	7.680063187311343	-2.164674415463295	3.733409029532901	5.455984485428052	VC1	3.75	0	1	-999.0	-999.0	0	2.2240787018832915	8.303395508002893	3.835863466897287	-3.19936697	-7.11564394	0.88336498
LS_II_+25_15	435781776	54	TESS-SPOC	600	10.59770012	2751.273681640625	1.4762264936081897	0.0	8.182489092679978	-1.9965358325775475	3.497402037701692	5.554985583161956	VC1	3.75	0	1	-999.0	-999.0	0	2.6275035095180224	9.18943612825668	4.602690309040447	-3.17384994	-8.33930187	0.86162013
*_73_Ori	434408053	6	SPOC	120	5.41677999	191.2306671142578	0.135494067143755	0.0	7.01637485430617	-1.4326887133193116	2.483618810637539	4.317283562228703	VC1	3.75	0	1	-999.0	-999.0	0	2.6990912920774663	6.703513904631576	4.67897446410435	-2.27121797	-6.13022465	0.9987905
*_73_Ori	434408053	33	SPOC	120	5.41677999	148.5651092529297	0.20511930619692	0.0	6.545171551850395	-1.4163738428352175	1.975198232859384	4.042095894166662	VC1	3.75	0	1	-999.0	-999.0	0	2.5030756576837323	4.944070615770247	3.490653714610745	-1.76589317	-4.42016422	0.99851394
*_73_Ori	434408053	45	SPOC	120	5.41677999	138.86241149902344	0.1323753616176843	0.0	6.647539560012082	-1.470572751588812	2.2643270091401018	4.005606553584932	VC1	3.75	0	1	-999.0	-999.0	0	2.6419330064271502	5.982200262791706	4.0679390097011625	-2.05813583	-5.43745698	0.99885064
*_73_Ori	434408053	44	SPOC	120	5.41677999	193.1952972412109	0.1345408737559626	0.0	6.71376099526284	-1.6051659805236649	2.3346565767386824	4.281374619825729	VC1	3.75	0	1	-999.0	-999.0	0	2.432386375437111	5.678786848583817	3.5378190900427544	-2.06755477	-5.02909206	0.99876821
