Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	Unnamed: 24	CROWDSAP
0_RS_Oph	6348255	80	SPOC	20	9.46450043	37357.80078125	0.2873505400240591	0.0	12.635973657114556	-1.7817746285476102	1.6360819967751126	7.464481553589441	Merc	1	0	1	-6.3954996	-3.0231674	1	5.171492103525115	8.460985127042099	4.748628132582041	-1.62761047	-8.41717469	0.95945269
0_RS_Oph	6348255	80	SPOC	120	9.46450043	51935.66796875	0.0794092212450963	0.0	12.823072488552327	-1.2690191674509907	1.6527985658300657	3.971944611838327e-10	Merc	1	0	1	-6.3954996	-3.0231674	1	12.823072488155132	21.19395581795777	16.70105256213656	-1.65279728	-21.19393939	0.95945221
0_SULyn	11670502	20	SPOC	120	5.00400019	544.3944702148438	0.0531961332497715	0.0	8.212850343990015	-1.3954267879215216	2.5191252208633568	5.13746721874626	Merc	1	0	1	-11.0559998	-3.68536	1	3.0753831252437545	7.747275194619113	5.551903734167684	-2.37722012	-7.31086264	0.9996115
0_SULyn	11670502	60	SPOC	120	5.00400019	381.9600830078125	0.1904213799345767	0.0	7.820225711295115	-1.5288726247001907	1.905454334130041	4.674044673271453	Merc	1	0	1	-11.0559998	-3.68536	1	3.146181038023662	5.994904294859937	3.921127370591469	-1.80629511	-5.68293144	0.99957055
0_SULyn	11670502	73	SPOC	120	5.00400019	3401.33837890625	0.0521408889119273	0.0	10.38464122597398	-1.3888961193940117	2.1127409645577484	6.697591650550725	Merc	1	0	1	-11.0559998	-3.68536	1	3.687049575423254	7.789780676351962	5.608612888738373	-2.05302026	-7.56958746	0.99943435
0_SULyn	11670502	20	TESS-SPOC	1800	5.00400019	283.3403015136719	0.1352399140643577	3.433812284473471e-108	6.946565273083433	-1.2701790345915391	2.3319743894356404	3.91823599203726	Merc	1	0	1	-11.0559998	-3.68536	1	3.028329281046173	7.0619863261777205	5.559835372695075	-2.19352268	-6.64270897	0.99953431
0_SULyn	11670502	60	TESS-SPOC	200	5.00400019	1350.5980224609375	0.1859297080866981	1.0613307269127685e-143	9.188488457947926	-1.593220932385191	2.3177403176891542	4.909086535834565	Merc	1	0	1	-11.0559998	-3.68536	1	4.279401922113362	9.9185423704786	6.225465764895315	-2.28437882	-9.77577513	0.9994939
0_V1044_Cen	30541762	37	SPOC	120	8.69349957	7102.01220703125	0.3849338881662322	5.020070913685447e-20	8.664962923593361	-2.045977570136236	1.5895234878655868	5.321941287064888	Merc	1	2	1	-999.0	-999.0	0	3.343021636528473	5.31381141170486	2.597199250503527	-1.52322036	-5.09215862	0.90243429
0_V1044_Cen	30541762	37	TESS-SPOC	600	8.69349957	7642.5283203125	0.3982669414343135	2.844975604181313e-06	8.370011454482105	-1.7516809670571771	1.5514979193686205	8.852689155806209e-16	Merc	1	2	1	-999.0	-999.0	0	8.370011454482105	12.986055356720508	7.413482021521917	-1.55129527	-12.98435917	0.90092713
0_V1044_Cen	30541762	64	TESS-SPOC	200	8.69349957	8165.3896484375	0.1941742021073851	5.8130186905521115e-126	9.740484128518458	-1.324697790865807	1.601546480025562	5.217677850807945	Merc	1	2	1	-999.0	-999.0	0	4.522806277710513	7.243484473904787	5.468027895759176	-1.5840968	-7.16456295	0.89152378
