Name TIC_ID Sector Author Exptime Magnitude SlopeB Slope2B BreakpointB
V*_Y_Gem 70580781 71 TESS-SPOC 200 5.04510021 -2.794120799122717 -1.2447897840161737 1.8218393903213173
CD-38_3905 132636906 61 TESS-SPOC 200 8.40380001 -1.150553117358228 -0.07677291691035397 2.0
CD-38_3905 132636906 62 TESS-SPOC 200 8.40380001 -1.3634995137666635 -0.18558340253023922 2.0
IRAS_08427+0338 350315597 61 TESS-SPOC 200 11.32330036 -1.4139255167717906 -0.6217827849625922 2.0
V*_DH_Eri 178804201 05 SPOC 120 5.14340019 -1.6443069703353204 -1.857760333808581 2.0
V*_DH_Eri 178804201 31 SPOC 120 5.14340019 -0.2572615327926245 -1.931877771377213 1.6989700043360187
V*_DH_Eri 178804201 32 SPOC 120 5.14340019 -1.5567504577430518 -0.8060387600615743 2.0
V*_DH_Eri 178804201 05 TESS-SPOC 1800 5.14340019 -0.9512939540040054 -0.466680350524016 2.0
V*_DH_Eri 178804201 31 TESS-SPOC 600 5.14340019 -1.218812209750281 -1.4595336560622634 1.9877130614014702
V*_DH_Eri 178804201 32 TESS-SPOC 600 5.14340019 -1.6392255711571861 -0.5585290820992331 2.0
HD_165774 330960059 13 SPOC 120 6.05959988 -1.9031333427231323 -0.2508950838276072 1.993856530700735
HD_165774 330960059 13 TESS-SPOC 1800 6.05959988 -1.342836097995755 0.06401536612981157 1.9017044912117613
HD_165774 330960059 66 TESS-SPOC 200 6.05959988 -2.1577494290447032 -0.9111236489163513 2.0
V*_RW_And 267942318 17 SPOC 120 6.78989983 -1.3446381579517535 -1.798640043218557 1.7972655131242576
V*_RW_And 267942318 17 TESS-SPOC 1800 6.78989983 -1.4473076078265967 -0.22411554163915298 1.993856530700735
V*_RW_And 267942318 57 TESS-SPOC 200 6.78989983 -2.177975708439674 -1.483420447049098 1.7788351052264628
WRAY_18-305 212203684 66 TESS-SPOC 200 8.85459995 -1.872524300236449 -0.28322050069479154 2.0
HD_187372 272841269 15 SPOC 120 4.39794016 -1.8071438476865316 -0.9870661071307513 1.9631391842044104
HD_187372 272841269 14 SPOC 120 4.39794016 -1.5820548374522538 -0.4068681776796745 1.7051134736352838
HD_187372 272841269 41 SPOC 120 4.39794016 -2.570534509949157 -0.8263967010316416 2.0
HD_187372 272841269 56 SPOC 120 4.39794016 -2.8522353029484115 -0.9741789777610366 2.0
HD_187372 272841269 55 SPOC 120 4.39794016 -2.3271173692882914 -0.6412268366697585 2.0
HD_187372 272841269 54 SPOC 120 4.39794016 -3.0175028205411167 -0.8993269169409037 2.0
HD_187372 272841269 82 SPOC 120 4.39794016 -2.163337375803819 -1.4165923190978869 1.858700206116907
HD_187372 272841269 74 SPOC 120 4.39794016 -2.5103962314862716 -1.0737869033126146 2.0
HD_187372 272841269 75 SPOC 120 4.39794016 -2.455786142402996 -1.276945118598524 2.0
HD_187372 272841269 15 TESS-SPOC 1800 4.39794016 -2.0306798896549147 -0.7022572129361127 1.858700206116907
HD_187372 272841269 14 TESS-SPOC 1800 4.39794016 -1.9186447450099446 -0.606734348812373 1.8156959210220522
HD_187372 272841269 41 TESS-SPOC 600 4.39794016 -0.4811739443788995 -1.1921872763670418 1.920134899109556
HD_187372 272841269 56 TESS-SPOC 200 4.39794016 -2.936443289846173 -1.6912342438196277 1.754261228029403
HD_187372 272841269 55 TESS-SPOC 600 4.39794016 -1.872240701398075 -0.5034004974228435 2.0
HD_187372 272841269 54 TESS-SPOC 600 4.39794016 -1.8923443397310677 -0.9819888766269711 1.8709871447154367
V*_R_Aqr 92138849 02 SPOC 120 5.35629988 -1.1406646600199646 -0.856514305022172 1.6989700043360187
V*_R_Aqr 92138849 29 SPOC 120 5.35629988 -0.19034502935898218 -1.1721552139645106 1.6989700043360187
V*_R_Aqr 92138849 70 SPOC 20 5.35629988 -1.9739532244615605 -0.6156144402892455 2.0
V*_R_Aqr 92138849 69 SPOC 120 5.35629988 -0.5753192542936812 -0.41791529417363293 1.6989700043360187
V*_R_Aqr 92138849 70 SPOC 120 5.35629988 -1.7313953773605764 -0.6232741572590695 1.9508522456058806
