Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
HD_213405	337886863	84	SPOC	120	7.55359983	5137.00537109375	0.3514546267607761	0.0	10.42456133837374	-1.70730874224987	2.9029192135735435	5.213235109981421	VC3	4.25	0	1	-4.9764002	-6.090634	1	5.211326228392319	15.128059036599812	8.86076352931002	-2.88856018	-15.05322945	0.97084278
HD_213405	337886863	16	TESS-SPOC	1800	7.55359983	10786.8330078125	0.3506494838958329	6.424770714096622e-63	9.687966845548376	-1.4947706722547394	2.619026077017169	5.217046472758414	VC3	4.25	0	0	-4.9764002	-6.090634	1	4.470920372789962	11.709457044604232	7.83361438777861	-2.5887441	-11.57406872	0.97519439
HD_213405	337886863	17	TESS-SPOC	1800	7.55359983	12896.59765625	0.3531913152548477	1.3047421262428912e-63	9.832783621371131	-1.4179992460298934	2.36797908607709	5.987727937266163	VC3	4.25	0	0	-4.9764002	-6.090634	1	3.845055684104969	9.105011444762404	6.4210270000175	-2.31204339	-8.88993556	0.96949184
HD_213405	337886863	18	TESS-SPOC	1800	7.55359983	13121.86328125	0.3522034713756702	2.4753442410844606e-114	9.423312478420357	-1.591538274028217	2.32307144912424	6.160322261436736	VC3	4.25	0	1	-4.9764002	-6.090634	1	3.2629902169836207	7.580159411846357	4.762788011789885	-2.21703565	-7.23416564	0.97515172
HD_213405	337886863	24	TESS-SPOC	1800	7.55359983	12634.892578125	0.3498794107301001	2.94314464583552e-82	9.698633607351198	-1.3085095481743465	2.19210829394522	6.548904796560993	VC3	4.25	0	0	-4.9764002	-6.090634	1	3.1497288107902053	6.904546649811423	5.276649803163269	-2.07848432	-6.54666195	0.97908551
HD_213405	337886863	58	TESS-SPOC	200	7.55359983	8017.1376953125	0.3517975153038941	0.0	10.172416665043402	-1.6008837364894146	2.3967939899272586	5.000749957244131	VC3	4.25	0	1	-4.9764002	-6.090634	1	5.171666707799271	12.395419683160185	7.742860646671418	-2.38438603	-12.33124987	0.96682203
HD_213405	337886863	57	TESS-SPOC	200	7.55359983	7886.7900390625	0.351218042449539	0.0	10.297537873361962	-1.7457409232526038	2.7444864868806773	5.082520434059926	VC3	4.25	0	1	-4.9764002	-6.090634	1	5.215017439302036	14.31254489101151	8.198550369286684	-2.73096856	-14.24204865	0.97772467
*_6_Cep	275420565	18	SPOC	120	4.84619999	1808.894287109375	0.5925610153346974	0.0	9.37358524188279	-1.6777615116301223	2.734281975543586	5.377198134362488	VC3	4.25	0	1	-999.0	-999.0	0	3.9963871075203015	10.927249235387528	6.512993151672999	-2.67991705	-10.70998596	0.99924529
*_6_Cep	275420565	17	SPOC	120	4.84619999	750.5428466796875	0.621571035542056	0.0	8.947310742042538	-1.6161629270360671	3.073424006218606	5.098155071916649	VC3	4.25	0	1	-999.0	-999.0	0	3.8491556701258887	11.83008744023737	7.31986066648178	-3.00116231	-11.55194093	0.98906595
*_6_Cep	275420565	16	SPOC	120	4.84619999	422.9494018554688	0.604225507492597	0.0	9.293700909070465	-1.449149064753299	2.458620447053642	4.992973492833451	VC3	4.25	0	1	-999.0	-999.0	0	4.300727416237014	10.573856362764502	7.296596754568227	-2.42408335	-10.42532173	0.99901372
*_6_Cep	275420565	24	SPOC	120	4.84619999	889.3311767578125	0.5965951643521954	0.0	9.548647312524391	-1.5714785948408394	3.0514381664141883	5.504801891993878	VC3	4.25	0	1	-999.0	-999.0	0	4.043845420530513	12.33954425528604	7.852187294053342	-2.99396267	-12.10712222	0.99927634
