Name TIC_ID Sector Author Exptime Magnitude Slope Slope2 Breakpoint
0_RS_Oph 6348255 80 SPOC 20 9.46450043 -1.8939160496260576 -0.08644172163287729 3.8030812083122187
0_RS_Oph 6348255 80 SPOC 120 9.46450043 -1.5856941642572007 -1.4697201851777315 3.1999664245820694
0_SULyn 11670502 20 SPOC 120 5.00400019 -0.8926517344194325 0.4769189157871965 2.692766409323175
0_SULyn 11670502 60 SPOC 120 5.00400019 -1.4750651211844672 0.36593253598730435 2.707497067087971
0_SULyn 11670502 73 SPOC 120 5.00400019 -1.7976253284127461 -0.031757242425915704 2.461388600528316
0_SULyn 11670502 20 TESS-SPOC 1800 5.00400019 -1.419789058850716 0.1661161822599105 1.988361859652789
0_SULyn 11670502 60 TESS-SPOC 200 5.00400019 -2.0560336767485587 0.235103228794244 3.0149171238077948
0_V1044_Cen 30541762 37 SPOC 120 8.69349957 -1.4768465941189122 -0.2622125685444727 3.2205937552785757
0_V1044_Cen 30541762 37 TESS-SPOC 600 8.69349957 -0.30777066328237157 -1.4366327408183008 1.9092759879310877
0_V1044_Cen 30541762 64 TESS-SPOC 200 8.69349957 -1.6543822989088055 -0.9024418545590878 2.8069668729221027
0_BX_Mon 64333488 07 SPOC 120 8.61250019 -1.614580895284935 -0.07532406271335519 2.43040236473186
0_BX_Mon 64333488 07 TESS-SPOC 1800 8.61250019 -2.271934687779873 0.04896614679953039 1.7520802274511589
0_EG_And 115780639 17 SPOC 120 5.2986002 -1.6764199630334855 -0.41785967411179775 3.1186537686198754
0_EG_And 115780639 57 SPOC 120 5.2986002 -1.866723570033834 -0.08584633427804333 2.1764072318586973
0_EG_And 115780639 84 SPOC 120 5.2986002 -1.695408729611238 -0.06222462362026199 2.5667309941973677
0_EG_And 115780639 17 TESS-SPOC 1800 5.2986002 -1.8603910624239173 -0.31399247930570223 2.2738729837582037
0_EG_And 115780639 57 TESS-SPOC 200 5.2986002 -1.8843306077883846 -0.5482585186850474 2.8772781255635635
0_ASAS_J152058-4519.7 146068950 65 TESS-SPOC 200 9.16180038 -1.9434372172606935 -0.14175446500858996 2.3246270862917244
0_RTCru 180045004 64 TESS-SPOC 200 8.87969971 -1.2971278463866263 0.5849140215658245 3.3343576595224107
0_RTCru 180045004 65 TESS-SPOC 200 8.87969971 -1.3205592246851467 0.5539618936729717 3.3365991487185416
0_omi_Cet_Mira 332890609 04 SPOC 120 2.25900006 -1.4149974700917582 -1.4669366785474738 3.462259231176368
0_omi_Cet_Mira 332890609 31 SPOC 120 2.25900006 -1.0155412973393887 0.10769105707088136 2.794882791517337
0_omi_Cet_Mira 332890609 04 TESS-SPOC 1800 2.25900006 -1.9396038668850213 -1.6226254384832919 1.9979989230735304
0_omi_Cet_Mira 332890609 31 TESS-SPOC 600 2.25900006 -1.640998529428457 -1.053410770566515 2.3304736207315964
0_CHCyg 350739215 14 SPOC 120 3.7260499 -1.4265703357862431 -0.3821890447698254 3.1492481187341372
0_CHCyg 350739215 15 SPOC 120 3.7260499 -0.6421170025481897 0.500780014993596 2.505494128922377
0_CHCyg 350739215 40 SPOC 120 3.7260499 -1.5422501896440026 -1.1146277504961715 3.1214104899158386
0_CHCyg 350739215 54 SPOC 120 3.7260499 -1.3494586376896602 -0.11023768234425944 3.3046907644264047
0_CHCyg 350739215 56 SPOC 120 3.7260499 -1.6327046582642994 -0.20085764870056572 3.408634264985876
0_CHCyg 350739215 55 SPOC 120 3.7260499 -1.2182646362957148 0.017609540622816392 3.1097568052624203
0_CHCyg 350739215 74 SPOC 20 3.7260499 -0.8637448043062305 0.41341602326547217 3.0025906178946156
0_CHCyg 350739215 82 SPOC 20 3.7260499 -0.7489344834816135 -0.06698334202358952 2.5376687503990696
0_CHCyg 350739215 81 SPOC 20 3.7260499 -1.0748718691040615 -0.13352428261768415 2.8864549623084326
0_CHCyg 350739215 80 SPOC 20 3.7260499 -1.6849708593374986 0.00872894618460425 2.8231973898227114
0_CHCyg 350739215 75 SPOC 20 3.7260499 -1.0055549321826343 0.37550450678085595 2.9374158922899265
0_CHCyg 350739215 82 SPOC 120 3.7260499 -0.6071128276737814 0.1840086688888906 2.9875233646509196
0_CHCyg 350739215 74 SPOC 120 3.7260499 -1.4188956776957224 0.4020277172186111 2.686595025498189
0_CHCyg 350739215 75 SPOC 120 3.7260499 -1.2542035574702861 0.5806350665819631 2.70811912448445
0_CHCyg 350739215 80 SPOC 120 3.7260499 -1.382512447418108 0.022721259995797362 2.8087340649249963
0_CHCyg 350739215 81 SPOC 120 3.7260499 -1.5171246858398026 0.35695348405669514 2.921790143743994
0_CHCyg 350739215 15 TESS-SPOC 1800 3.7260499 -1.901270262228943 -0.16377199353798777 2.1551785258886005
0_CHCyg 350739215 14 TESS-SPOC 1800 3.7260499 -1.4886065767369452 -0.5431002772643841 2.2050935492948516
0_CHCyg 350739215 40 TESS-SPOC 600 3.7260499 -1.2925187066377324 -0.5689801829630432 2.6437803957680397
0_CHCyg 350739215 56 TESS-SPOC 200 3.7260499 -1.6346046901425664 -0.27330277013675136 3.253949617730742
0_CHCyg 350739215 54 TESS-SPOC 600 3.7260499 -1.4009127357538234 -0.21581304093257642 2.7315730950321644
0_CHCyg 350739215 55 TESS-SPOC 600 3.7260499 -1.3279998458174653 -2.4870638072587954 2.945981209997066
0_V407_Cyg 357457104 16 SPOC 120 9.52099991 -1.5254470408070069 -0.053605510846570635 2.8153176778708735
0_V407_Cyg 357457104 15 SPOC 120 9.52099991 -1.0590713974994248 0.01627831739257195 2.2166744992453733
