Name TIC_ID Sector Author Exptime Magnitude SlopeB Slope2B BreakpointB
2 328668612 59 TESS-SPOC 200 6.54879999 -2.7877749525903424 -1.4211615752527786 1.8156959210220522
2 328668612 60 TESS-SPOC 200 6.54879999 -1.982995806126566 -1.5695940373557458 2.0
3 336728909 57 TESS-SPOC 200 10.1906004 -1.4449749694172593 -0.14321483052803402 2.0
4 13939217 57 TESS-SPOC 200 7.41699982 -1.635356950224024 -0.07041318469903547 2.0
5 386610785 09 SPOC 120 2.81458998 -2.119771832924631 -1.8522054335347713 2.0
5 386610785 35 SPOC 120 2.81458998 0.30180307483644475 -2.036917212898768 1.7726916359271978
5 386610785 62 SPOC 120 2.81458998 -1.4562714728457715 -0.5822463155221271 2.0
5 386610785 89 SPOC 120 2.81458998 -2.815365923646706 -0.7243906937649375 1.840269798219112
5 386610785 09 TESS-SPOC 1800 2.81458998 -1.9262208468301425 -0.996581769592759 2.0
5 386610785 35 TESS-SPOC 600 2.81458998 -1.8090336272094147 -0.5243615063783104 1.8955610219124963
5 386610785 62 TESS-SPOC 200 2.81458998 -3.3654846044183726 -0.8583339961485466 1.840269798219112
6 230092799 60 TESS-SPOC 200 7.13600016 -2.5068487652300058 -0.7772773696709666 1.8156959210220522
6 230092799 58 TESS-SPOC 200 7.13600016 -3.082730143089623 -1.1202894362125704 1.7972655131242576
6 230092799 57 TESS-SPOC 200 7.13600016 -1.8396444948888486 -1.9508722583339901 1.6989700043360187
6 230092799 56 TESS-SPOC 200 7.13600016 -1.9563646191457131 -1.5829046860337368 2.0
6 230092799 59 TESS-SPOC 200 7.13600016 -2.57818247502712 -1.1841432682307098 1.8218393903213173
7 1219998 05 SPOC 120 9.38539982 -2.902097477541285 -0.2884087610619125 2.0
7 1219998 05 TESS-SPOC 1800 9.38539982 -2.322171960299717 -0.20167203092274463 1.6989700043360187
8 114858879 02 SPOC 120 5.19049978 -0.5253279682897595 -1.5756159218005488 1.7051134736352838
8 114858879 69 SPOC 120 5.19049978 -0.7938754154133356 -1.6194925080269302 1.6989700043360187
8 114858879 02 TESS-SPOC 1800 5.19049978 -1.8756833833287907 -0.8632676785003244 1.9631391842044104
8 114858879 69 TESS-SPOC 200 5.19049978 -0.6865272111430294 -1.0952234625860715 1.6989700043360187
9 24350903 42 SPOC 120 2.4698 -0.557945947446488 -1.9767373399077572 1.7481177587301382
9 24350903 55 SPOC 120 2.4698 -1.253796063880149 -1.7737926971060893 1.7296873508323434
9 24350903 82 SPOC 120 2.4698 -0.9322436523750894 -0.8582699056888455 1.6989700043360187
9 24350903 42 TESS-SPOC 600 2.4698 -2.127194484776765 -0.5225603673182173 2.0
9 24350903 55 TESS-SPOC 600 2.4698 -1.998050098558861 -1.3945234971928708 2.0
10 147795605 60 TESS-SPOC 200 7.70230007 -2.3158167711591724 -1.4743359408016683 1.8279828596205823
11 293340820 42 SPOC 120 2.25740004 -1.0740287363780452 -2.031990581104419 1.8156959210220522
11 293340820 70 SPOC 120 2.25740004 -1.4362338306856643 -1.7740536964338267 1.6989700043360187
11 293340820 42 TESS-SPOC 600 2.25740004 -2.0773244665154897 -1.256820386862293 2.0
11 293340820 70 TESS-SPOC 200 2.25740004 -2.8637657429346333 -1.3134573952818542 1.8095524517227874
12 58872758 70 TESS-SPOC 200 6.60710001 -1.9644463800894456 -1.4850357043691793 2.0
13 310965017 14 SPOC 120 3.85619998 -1.5586253413206035 -1.9154238667150887 1.8279828596205823
13 310965017 21 SPOC 120 3.85619998 -2.4051325486318986 -1.7411805070135145 2.0
13 310965017 47 SPOC 120 3.85619998 -1.998247917735668 -1.7091994857974206 1.8955610219124963
13 310965017 41 SPOC 120 3.85619998 -1.3907617459379393 -1.9175150543316373 1.9447087763066158
13 310965017 75 SPOC 120 3.85619998 -1.691649714072764 -1.0413181953754211 1.9569957149051456
13 310965017 74 SPOC 120 3.85619998 -2.2583399636950734 -1.7558794067556942 1.8464132675183769
13 310965017 14 TESS-SPOC 1800 3.85619998 -2.9548445931691787 0.2530873635582708 1.8525567368176419
13 310965017 21 TESS-SPOC 1800 3.85619998 -0.32321338333888155 0.04668744957574802 1.7788351052264628
13 310965017 41 TESS-SPOC 600 3.85619998 -2.07183533295471 -1.363427639192352 2.0
13 310965017 47 TESS-SPOC 600 3.85619998 -2.001453467092974 -1.4145586852017495 2.0
15 71032449 09 SPOC 120 4.68730021 -1.9512549726707202 -1.4414973405279738 1.7849785745257276
15 71032449 36 SPOC 120 4.68730021 0.25512555620712724 -1.9112310129877066 1.6989700043360187
15 71032449 09 TESS-SPOC 1800 4.68730021 -2.1354904855602648 -0.284329604399534 1.8771306140147015
15 71032449 36 TESS-SPOC 600 4.68730021 -1.9931847594591923 -0.3877430808958013 2.0
16 139121623 01 SPOC 120 3.96799994 -0.5347047443989977 -2.0556105989693925 1.7726916359271978
16 139121623 27 SPOC 120 3.96799994 -1.7857412426883241 -1.0094928605216857 1.7726916359271978
16 139121623 28 SPOC 120 3.96799994 -1.672680640321511 -0.8114192165155516 2.0
16 139121623 68 SPOC 120 3.96799994 -2.481395857426515 -1.605622018553845 1.8648436754161717
16 139121623 01 TESS-SPOC 1800 3.96799994 -0.7372842843746263 -0.5179308063300648 1.8218393903213173
16 139121623 27 TESS-SPOC 600 3.96799994 -1.8861647029673085 -0.41731355698884853 2.0
16 139121623 28 TESS-SPOC 600 3.96799994 -2.0563928521704744 -1.0547998742819125 2.0
16 139121623 68 TESS-SPOC 200 3.96799994 -2.64957341157201 -0.9209039684904846 1.8894175526132313
