Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
V*_CI_Hyi	234300677	1	SPOC	120	5.26399994	1081.1221923828125	0.1058082865812028	0.0	9.526215222620598	-1.287658698070285	1.8100634924251455	5.151511543060793	xAGB	0	0	1	-999.0	-999.0	0	4.374703679559805	7.918491420549157	6.1495266039176295	-1.7866993	-7.81628	0.99783647
V*_CI_Hyi	234300677	2	SPOC	120	5.26399994	328.91607666015625	0.1112928449995294	0.0	7.648089736291762	-1.497823706639074	1.5170655800422583	4.039776514868365	xAGB	0	2	1	-999.0	-999.0	0	3.6083132214233977	5.474047790232836	3.6546676127298734	-1.47017771	-5.30486168	0.99799508
V*_CI_Hyi	234300677	27	SPOC	120	5.26399994	285.6085510253906	0.1806030030405006	0.0	7.91043886622001	-1.4713625503492118	1.8313960251735333	4.165197474508931	xAGB	0	0	1	-999.0	-999.0	0	3.745241391711079	6.859020198095061	4.661679201001241	-1.78293769	-6.67753202	0.99777871
V*_CI_Hyi	234300677	29	SPOC	120	5.26399994	503.6692810058594	0.0772020798930678	0.0	10.264923031589436	-1.3057746852042744	2.0832643978186383	5.735738324411198	xAGB	0	0	1	-999.0	-999.0	0	4.529184707178239	9.43548925160906	7.225970420871636	-2.06073132	-9.33343278	0.99807703
V*_CI_Hyi	234300677	67	SPOC	120	5.26399994	1279.7464599609375	0.0911797119260633	0.0	10.097105567494555	-1.4115190874573986	2.187830100299499	5.88762907788073	xAGB	0	0	1	-999.0	-999.0	0	4.2094764896138255	9.209619370480198	6.524615538192752	-2.15371921	-9.06603037	0.99806923
V*_CI_Hyi	234300677	69	SPOC	120	5.26399994	1782.2235107421875	0.058159149288501	0.0	9.3982416720394	-1.502525745741425	2.084412852252979	6.12846385865395	xAGB	0	0	1	-999.0	-999.0	0	3.269777813385451	6.815566898232276	4.536073286963291	-1.98999397	-6.50683814	0.99831313
V*_CI_Hyi	234300677	1	TESS-SPOC	1800	5.26399994	1334.9368896484375	0.068365674355193	9.5290428132573e-87	9.182658112960018	-1.2462815766673088	2.328775481624951	5.601548256073747	xAGB	0	0	1	-999.0	-999.0	0	3.581109856886271	8.339600831722185	6.691586386138497	-2.25454735	-8.07378172	0.99774277
V*_CI_Hyi	234300677	2	TESS-SPOC	1800	5.26399994	414.7851257324219	0.1152454991886955	6.94747322708967e-150	7.728636717415241	-1.3283814746071554	2.136226504506636	4.094259078680294	xAGB	0	0	1	-999.0	-999.0	0	3.6343776387349465	7.763853839251837	5.844596591914876	-2.07212433	-7.53088235	0.9978931
V*_CI_Hyi	234300677	27	TESS-SPOC	600	5.26399994	932.7578125	0.2587529284061423	1.6490191830216868e-215	8.530403933035219	-1.3394654119025589	2.2433828298139296	4.008749716307957	xAGB	0	0	1	-999.0	-999.0	0	4.521654216727262	10.143801432161691	7.573022298316438	-2.21890774	-10.03313356	0.99768281
V*_CI_Hyi	234300677	29	TESS-SPOC	600	5.26399994	1187.178955078125	0.2321302342770805	7.203360223083536e-146	8.723211845173214	-1.5812285138042053	2.0589657922462528	4.722439400423464	xAGB	0	0	1	-999.0	-999.0	0	4.00077244474975	8.237453606301147	5.209527613743211	-2.01823209	-8.07448733	0.99798089
V*_CI_Hyi	234300677	69	TESS-SPOC	200	5.26399994	2588.469482421875	0.362086083427851	2.076202120575302e-153	9.39407398814222	-1.7148780867384734	2.128105713873911	4.925527678009284	xAGB	0	0	1	-999.0	-999.0	0	4.468546310132935	9.50953893530408	5.545314858731604	-2.10343295	-9.39928755	0.99821597
V*_CI_Hyi	234300677	67	TESS-SPOC	200	5.26399994	839.22412109375	0.1022888310308153	0.0	8.69688548206508	-1.591385230082203	1.8969747562401176	4.338724778322313	xAGB	0	0	1	-999.0	-999.0	0	4.358160703742766	8.267320838637692	5.195046857517111	-1.87202101	-8.1585684	0.99796873
V*_EY_Hya	393806122	34	SPOC	120	4.68690014	564.310302734375	0.1959106876011974	0.0	8.342299531335362	-1.534599659425807	1.638131375791595	4.049157872854418	xAGB	0	2	1	-14.3530999	-1.3153235	1	4.293141658480944	7.032730051475598	4.58277832155065	-1.61491957	-6.93307847	0.99918795
V*_EY_Hya	393806122	61	SPOC	120	4.68690014	692.6068115234375	0.1174887663902666	0.0	8.3220936573049	-1.4613151700327984	1.6541883501645929	5.140062575985339	xAGB	0	0	1	-14.3530999	-1.3153235	1	3.1820310813195603	5.263678744580459	3.6020147142264447	-1.57149633	-5.00055016	0.99928969
V*_EY_Hya	393806122	88	SPOC	20	4.68690014	728.0770263671875	0.2515318442937082	0.0	10.010080064309562	-1.886478384812992	2.238153636352139	5.810835898796723	xAGB	0	1	1	-14.3530999	-1.3153235	1	4.199244165512839	9.398553598973065	4.982062701929527	-2.20284791	-9.25029624	0.99953163
V*_EY_Hya	393806122	88	SPOC	120	4.68690014	791.3759765625	0.1556940928709296	0.0	9.474755957444042	-1.3896985896526326	1.8519677240294252	4.843302912147912	xAGB	0	0	1	-14.3530999	-1.3153235	1	4.63145304529613	8.577301555246226	6.172058904794743	-1.8341506	-8.49478237	0.99953181
